customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,RiskScore,RiskSegment
TC-0000026,Female,0,No,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),30.39,472.7,Yes,65.31,High Risk
TC-0000027,Male,0,Yes,No,17,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),107.21,1646.09,Yes,69.39,High Risk
TC-0000028,Female,0,No,No,38,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,121.84,4188.93,No,31.38,Medium Risk
TC-0000029,Female,0,Yes,No,9,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),102.89,851.91,No,22.68,Low Risk
TC-0000030,Male,0,Yes,No,14,Yes,No,DSL,No,No,No,Yes,Yes,No,One year,Yes,Electronic check,75.95,1055.56,No,27.15,Medium Risk
TC-0000031,Female,0,Yes,Yes,1,Yes,No,DSL,Yes,No,Yes,No,No,No,Two year,Yes,Mailed check,71.38,0.0,No,35.41,Medium Risk
TC-0000032,Male,0,Yes,Yes,31,Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Electronic check,73.79,2221.3,No,24.57,Low Risk
TC-0000033,Male,0,No,Yes,6,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,115.89,758.19,Yes,74.89,High Risk
TC-0000034,Female,0,Yes,No,33,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,88.42,2953.48,No,26.88,Medium Risk
TC-0000035,Female,0,No,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,32.2,197.29,Yes,71.3,High Risk
TC-0000036,Female,0,Yes,No,1,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),146.27,160.36,Yes,75.38,Critical Risk
TC-0000037,Male,0,No,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),48.55,135.95,No,28.17,Medium Risk
TC-0000038,Male,0,Yes,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,39.44,3109.76,No,22.22,Low Risk
TC-0000039,Female,0,No,Yes,7,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,137.8,958.24,Yes,78.18,Critical Risk
TC-0000040,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),60.05,130.32,Yes,66.36,High Risk
TC-0000041,Male,0,No,No,2,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,108.16,222.4,Yes,76.33,Critical Risk
TC-0000042,Male,0,Yes,No,7,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,85.65,563.88,No,32.18,Medium Risk
TC-0000043,Male,0,No,No,1,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,96.3,89.23,Yes,75.56,Critical Risk
TC-0000044,Female,0,Yes,Yes,14,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Electronic check,112.68,1675.91,No,27.81,Medium Risk
TC-0000045,Male,0,Yes,Yes,4,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,124.92,453.23,Yes,75.27,Critical Risk
TC-0000046,Female,0,Yes,No,14,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,58.63,762.17,No,29.47,Medium Risk
TC-0000047,Male,0,Yes,No,3,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,119.7,348.98,No,33.67,Medium Risk
TC-0000048,Female,0,Yes,Yes,11,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Bank transfer (automatic),64.98,652.61,No,22.43,Low Risk
TC-0000049,Female,1,No,No,18,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,101.4,1941.42,Yes,72.08,High Risk
TC-0000050,Male,0,Yes,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,43.08,44.1,No,26.0,Medium Risk
TC-0000051,Female,0,Yes,No,10,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,90.7,834.66,No,25.78,Medium Risk
TC-0000052,Female,0,Yes,Yes,7,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.0,119.88,No,20.83,Low Risk
TC-0000053,Female,0,No,No,5,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),101.81,558.06,No,22.17,Low Risk
TC-0000054,Female,0,No,Yes,18,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),90.37,1510.92,No,27.73,Medium Risk
TC-0000055,Female,0,Yes,Yes,17,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,No,Electronic check,103.01,1866.75,No,26.2,Medium Risk
TC-0000056,Female,0,No,No,19,Yes,Yes,DSL,Yes,No,No,No,No,Yes,One year,Yes,Credit card (automatic),83.64,1633.86,Yes,61.34,High Risk
TC-0000057,Male,1,No,Yes,3,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),111.38,354.55,Yes,68.28,High Risk
TC-0000058,Male,0,Yes,No,6,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,120.41,737.25,No,31.57,Medium Risk
TC-0000059,Male,0,Yes,Yes,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),50.99,199.44,No,26.94,Medium Risk
TC-0000060,Male,1,No,No,15,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Mailed check,101.37,1529.32,Yes,67.82,High Risk
TC-0000061,Male,0,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),39.32,475.09,No,25.65,Medium Risk
TC-0000062,Male,0,Yes,No,8,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,104.8,784.47,Yes,72.39,High Risk
TC-0000063,Female,0,Yes,No,30,No,No phone service,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,69.92,2155.98,No,26.65,Medium Risk
TC-0000064,Male,0,Yes,No,1,No,No phone service,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),86.7,87.42,Yes,67.7,High Risk
TC-0000065,Male,0,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),28.81,2145.74,No,9.76,Low Risk
TC-0000066,Female,1,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),115.65,245.71,Yes,71.92,High Risk
TC-0000067,Male,0,Yes,Yes,29,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),112.59,3293.44,No,25.36,Medium Risk
TC-0000068,Female,0,Yes,No,9,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),116.66,1073.98,No,23.56,Low Risk
TC-0000069,Male,1,No,No,40,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,102.1,4269.68,No,30.85,Medium Risk
TC-0000070,Female,0,No,No,1,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),98.59,89.65,Yes,71.25,High Risk
TC-0000071,Female,0,No,Yes,9,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,73.34,633.1,Yes,72.49,High Risk
TC-0000072,Male,0,No,Yes,8,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),73.88,545.93,Yes,67.83,High Risk
TC-0000073,Male,1,No,No,72,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Electronic check,96.96,7344.31,Yes,62.62,High Risk
TC-0000074,Female,0,Yes,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,34.7,2655.28,Yes,61.48,High Risk
TC-0000075,Female,0,Yes,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),36.68,160.47,Yes,63.0,High Risk
TC-0000076,Female,0,Yes,Yes,19,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),108.62,2105.69,No,28.7,Medium Risk
TC-0000077,Female,0,No,Yes,15,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),127.88,1909.1,No,22.1,Low Risk
TC-0000078,Male,1,Yes,No,3,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,134.02,437.52,No,36.08,Medium Risk
TC-0000079,Male,0,Yes,No,3,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Electronic check,89.72,291.74,No,27.76,Medium Risk
TC-0000080,Male,0,Yes,Yes,72,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),102.33,7576.6,No,20.03,Low Risk
TC-0000081,Female,1,Yes,Yes,12,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Bank transfer (automatic),83.7,1059.41,No,24.49,Low Risk
TC-0000082,Female,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,29.03,54.56,Yes,67.54,High Risk
TC-0000083,Male,0,Yes,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),38.51,154.5,Yes,59.35,High Risk
TC-0000084,Male,0,Yes,No,6,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),57.99,336.85,Yes,65.26,High Risk
TC-0000085,Male,0,No,No,14,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,No,Bank transfer (automatic),93.62,1395.5,No,21.75,Low Risk
TC-0000086,Male,0,Yes,No,8,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),83.56,720.63,Yes,67.25,High Risk
TC-0000087,Female,1,No,Yes,12,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),69.46,817.06,No,26.96,Medium Risk
TC-0000088,Female,0,No,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),50.39,150.53,No,27.56,Medium Risk
TC-0000089,Female,0,No,No,7,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),110.81,733.9,No,29.83,Medium Risk
TC-0000090,Male,0,No,No,1,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,86.15,79.93,Yes,75.37,Critical Risk
TC-0000091,Male,0,Yes,No,44,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),109.56,5222.8,Yes,61.53,High Risk
TC-0000092,Female,0,No,No,4,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.0,81.87,Yes,67.87,High Risk
TC-0000093,Female,0,Yes,No,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),31.51,837.3,Yes,62.86,High Risk
TC-0000094,Female,1,Yes,No,8,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.16,584.51,Yes,67.75,High Risk
TC-0000095,Female,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,34.68,383.0,No,21.99,Low Risk
TC-0000096,Male,0,Yes,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),32.39,198.01,No,25.29,Medium Risk
TC-0000097,Female,0,No,No,23,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,92.5,2258.11,No,31.83,Medium Risk
TC-0000098,Male,1,Yes,No,37,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,114.87,4379.4,Yes,71.42,High Risk
TC-0000099,Male,0,No,Yes,6,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,75.68,423.67,Yes,73.91,High Risk
TC-0000100,Male,0,Yes,Yes,5,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),81.53,411.9,No,28.54,Medium Risk
TC-0000101,Male,0,Yes,No,22,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,122.85,2879.91,Yes,72.54,High Risk
TC-0000102,Female,1,No,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,45.95,197.06,Yes,72.12,High Risk
TC-0000103,Male,0,Yes,Yes,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,46.05,966.14,No,30.9,Medium Risk
TC-0000104,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Mailed check,95.05,104.17,Yes,65.17,High Risk
TC-0000105,Female,0,Yes,No,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,44.68,902.7,No,28.85,Medium Risk
TC-0000106,Male,0,Yes,No,14,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,144.85,2166.38,Yes,78.56,Critical Risk
TC-0000107,Male,0,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,One year,No,Electronic check,100.88,215.9,No,31.23,Medium Risk
TC-0000108,Female,0,No,No,20,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),87.92,1840.03,Yes,65.69,High Risk
TC-0000109,Male,0,Yes,Yes,11,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),103.64,1141.02,No,23.67,Low Risk
TC-0000110,Male,1,Yes,No,4,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,81.33,321.81,No,34.54,Medium Risk
TC-0000111,Male,1,Yes,No,8,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),52.3,440.25,Yes,58.08,High Risk
TC-0000112,Male,0,No,No,13,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,74.59,966.94,Yes,69.38,High Risk
TC-0000113,Female,0,No,No,1,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),108.66,102.75,Yes,63.79,High Risk
TC-0000114,Female,0,No,Yes,63,Yes,No,DSL,No,No,Yes,No,No,No,One year,No,Mailed check,69.99,4655.8,No,18.36,Low Risk
TC-0000115,Female,0,Yes,No,21,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),142.19,2830.27,Yes,71.48,High Risk
TC-0000116,Female,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),35.33,70.23,Yes,66.6,High Risk
TC-0000117,Female,0,No,No,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,36.4,1134.97,Yes,68.85,High Risk
TC-0000118,Male,0,No,No,7,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),136.05,951.63,No,24.22,Low Risk
TC-0000119,Female,0,No,Yes,18,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),78.02,1412.03,No,26.03,Medium Risk
TC-0000120,Female,0,No,Yes,6,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,117.29,658.75,Yes,76.36,Critical Risk
TC-0000121,Female,0,Yes,Yes,26,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,137.21,3442.5,Yes,75.54,Critical Risk
TC-0000122,Female,0,No,No,25,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),108.83,2564.09,Yes,68.04,High Risk
TC-0000123,Male,0,No,Yes,16,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),120.78,1905.41,Yes,70.64,High Risk
TC-0000124,Male,1,Yes,Yes,5,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,124.31,638.69,Yes,77.77,Critical Risk
TC-0000125,Male,0,Yes,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),40.02,185.78,No,19.4,Low Risk
TC-0000126,Male,0,No,Yes,9,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),106.48,938.11,No,30.56,Medium Risk
TC-0000127,Female,0,Yes,Yes,3,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),57.42,173.87,No,18.5,Low Risk
TC-0000128,Female,0,No,No,8,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,133.67,1133.04,Yes,75.57,Critical Risk
TC-0000129,Male,1,Yes,Yes,23,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Electronic check,94.37,2223.67,Yes,68.78,High Risk
TC-0000130,Female,0,Yes,No,35,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),96.43,3593.55,No,25.22,Medium Risk
TC-0000131,Male,0,Yes,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),36.61,267.68,Yes,66.15,High Risk
TC-0000132,Male,0,Yes,Yes,5,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,114.73,537.65,Yes,75.72,Critical Risk
TC-0000133,Male,0,Yes,No,35,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,110.95,4213.71,No,26.9,Medium Risk
TC-0000134,Male,1,Yes,No,44,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,110.72,5029.95,No,23.63,Low Risk
TC-0000135,Female,0,No,No,10,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Mailed check,111.41,1094.43,Yes,65.43,High Risk
TC-0000136,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),32.72,34.34,Yes,66.3,High Risk
TC-0000137,Female,0,Yes,No,23,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),80.51,1995.11,Yes,65.89,High Risk
TC-0000138,Female,0,Yes,Yes,30,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),129.87,3922.27,No,21.52,Low Risk
TC-0000139,Male,0,No,No,1,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,67.72,72.7,No,30.66,Medium Risk
TC-0000140,Female,0,No,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),29.01,512.03,No,17.1,Low Risk
TC-0000141,Female,0,Yes,No,17,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,142.83,2618.37,Yes,75.35,Critical Risk
TC-0000142,Male,0,Yes,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,28.58,271.06,No,21.6,Low Risk
TC-0000143,Male,1,Yes,Yes,27,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),20.0,521.1,Yes,63.34,High Risk
TC-0000144,Male,0,Yes,No,11,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,126.99,1288.39,Yes,77.18,Critical Risk
TC-0000145,Male,0,Yes,No,22,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),89.74,1978.09,Yes,66.91,High Risk
TC-0000146,Male,0,No,No,14,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),121.1,1553.21,Yes,65.38,High Risk
TC-0000147,Female,0,Yes,Yes,5,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,56.49,300.97,No,30.93,Medium Risk
TC-0000148,Male,0,No,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,30.55,501.12,No,23.74,Low Risk
TC-0000149,Male,0,No,No,26,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),57.76,1634.72,No,15.47,Low Risk
TC-0000150,Male,0,No,Yes,72,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Two year,No,Electronic check,91.72,6600.0,No,18.28,Low Risk
TC-0000151,Female,0,No,Yes,9,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Credit card (automatic),67.1,601.84,No,17.82,Low Risk
TC-0000152,Male,0,Yes,Yes,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),62.62,63.21,Yes,66.51,High Risk
TC-0000153,Male,0,Yes,No,72,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),88.65,6283.82,Yes,58.87,High Risk
